PCA Component 1,PCA Component 2
-59.971567890556074,84.05428832444599
-64.09221906293025,107.77927456901692
-75.15811342843534,142.47074187246312
-80.2495475902633,117.34029139971805
-85.08633875418374,137.34429188516282
-80.49430381012718,126.24353850458814
-84.59525639697817,146.45169234596636
-75.4234853041583,119.95707890807216
-70.517874777998,109.23317120158292
-60.853715935638185,102.38810521400961
-85.01885440979797,140.0948497475797
-79.93013510935856,126.51155496000118
-86.23646204933803,160.72755015815054
-51.850936099976614,68.33271349346592
-64.74453271715294,89.04391210830592
-67.49410113217013,109.55516671806107
-95.05627026401979,148.43222765428004
-67.8054172106005,83.8356066916552
-74.32858469561617,100.00574214062965
-104.18720991818964,160.4393685747198
-56.07001177623482,66.27803136298672
-70.97651628199603,109.46594075013499
-54.48870471159192,96.66574711739517
-72.52708704535578,111.02191706411426
-73.17717012149512,101.29174969817008
-76.36228186142127,134.3527707440645
-84.13205937851151,148.5490808412099
-84.72767777981055,135.77133493946187
-67.14788374795579,120.07459794539471
-58.82644856878403,78.41477381000762
-82.50010584970642,148.88381092991247
-64.47189477937191,78.69929192505367
-73.982886523994,101.00797880640617
-90.31492632292895,144.3843768439347
-66.98448129327318,114.03107133760986
-51.71079244646751,77.61303803839434
-91.91129152718462,145.57394173636166
-104.04939882711608,154.06626323483806
-95.69814235862098,170.78355531347825
-79.74249263921142,132.8231735417762
-80.55739328249892,122.94700602014589
-57.06907914031171,91.6874496491446
-55.23009317209826,83.18831719022488
-104.1045326042515,168.20857288781895
-80.97320750386493,142.91141120404455
-58.554398639673394,63.28167017294928
-52.46747853960652,80.3008980123467
-75.54313003864138,108.94870745029976
-64.10208979544116,89.93728974224112
-74.96146461198985,132.78506839873995
-64.7363680475106,98.85292471396349
-55.061805485883525,91.54502771044942
-51.65038661005699,79.46896274708722
-58.37053306437801,110.28262103739935
-98.8921748860605,157.91122139557538
-97.98588853862033,154.54401048546745
-62.02199524687491,97.97715722373732
-90.17272291445104,141.62493907314015
-52.16893895364982,74.45110507723616
-95.26485717663076,150.1965373897635
-80.11795446169161,119.88335831366973
-69.12452213381651,126.55581346040745
-91.21747812909655,153.83024272279948
-59.546163387309896,82.39358466973766
-82.9023324322779,139.3736135994331
-58.33771515927318,62.67056930221528
-58.99726675801712,80.00927133768809
-75.88101636566243,120.73030041726284
-82.68811944057774,138.26410732907462
-88.12092249962825,143.87237942318725
-52.68249678344334,87.91555830119779
-84.0185742815965,135.085067440193
-103.68921851742195,164.75113716703032
-53.39966064355496,74.79466226853559
-81.50959261368526,133.03767875560683
-95.72492181267515,150.45398856487236
-87.2943629747802,155.21880789064318
-56.284699921464735,65.91185634064021
-61.18498536654269,73.26370797619558
-61.6756241203865,80.42977610844243
-40.57590346457483,69.7481547341779
-58.138672029854824,75.29606396220127
-59.021922760599615,105.27841616063756
-51.23974717577752,69.04664544969312
-59.48972667793348,101.64603832724872
-64.26257822303903,112.29670118723267
-79.38850173884458,117.61465924862613
-45.66200683573145,68.09015708245363
-67.95224993450341,113.57082075218268
-70.97711634578847,109.00979898146495
-98.46024724908658,162.5483738130051
-79.86691774627111,116.76118853959551
-70.27437572857167,95.87063798111072
-82.60779482427947,122.51463136469611
-79.88898247236969,132.31094177263495
