t-SNE Dimension 1,t-SNE Dimension 2
61.72953,-4.736275
44.874844,0.35976967
55.03768,7.2965174
58.493896,-7.441057
57.044514,4.1461554
50.32631,22.830975
42.09639,6.0547895
55.011665,7.2666492
60.69089,-4.976659
49.556736,15.355081
57.270718,-1.290583
51.49014,2.819179
42.54959,3.2226956
53.566597,13.32009
48.888996,7.0808883
64.10856,-5.3566084
52.516243,2.2527373
53.176105,7.811374
54.18033,13.360574
52.28572,-2.8239648
-2.436236,-2.0322318
21.537067,4.2710037
22.067955,9.392572
-4.4077697,4.099912
25.978403,-10.274269
-6.6083517,2.737978
27.451042,-10.120059
23.306578,1.1155694
-3.0586762,-0.95842534
-2.9482205,2.096124
-6.4049635,2.971747
26.874283,7.5098605
-8.567828,-0.2535363
-3.3011985,2.3892798
20.910862,-6.7548137
30.83357,-11.976462
19.515574,0.4251919
28.962715,-1.4514829
-2.980266,-3.1688352
21.286924,5.76524
31.815662,-9.369938
-6.6294065,2.282111
32.16527,-7.734611
14.671715,11.150866
21.036926,-7.895212
-8.376663,-0.9786596
22.2043,5.0227294
23.598703,0.60737354
24.463512,9.964542
21.141762,-7.209881
31.564514,-10.117762
23.555485,3.2651818
35.49091,-7.097542
18.438429,-1.6035221
-3.1481996,-4.655345
14.145006,10.469607
-2.7889695,1.5023143
15.08174,-2.0137947
25.69706,7.3069067
20.55961,-6.092556
20.731432,-7.690821
-4.015558,3.383844
15.875804,10.301265
22.479263,9.736649
22.105724,9.271761
19.006678,-0.3415339
17.325838,-5.8888173
31.394342,-10.441701
24.684673,9.994805
0.17648837,-1.8421633
17.639132,-1.5294298
16.65397,-4.8422804
31.149937,-3.598642
31.00269,-11.754344
25.436451,7.2728343
21.49113,4.311415
33.919815,-7.587669
27.482275,7.69464
-4.25575,-2.5314627
26.569374,7.55746
16.443436,-4.55369
21.429651,5.955032
-6.3309793,-1.4572238
35.557022,-7.0768476
-9.5392885,-1.4432112
14.836922,11.284784
20.885971,4.7636294
35.684692,-7.0070286
-7.961348,-0.90534526
15.105542,-2.0195608
13.938719,10.562766
-3.5369387,-3.749618
-3.1765285,-2.4842415
23.453102,0.7586029
26.997866,-10.187086
30.76705,-12.014398
32.43795,-7.3092675
28.859957,-1.3974966
30.953566,-3.2339687
16.51757,-4.4717913
29.374744,-1.7090057
18.515572,-0.9326221
-2.9682908,-4.7959967
-5.0818443,-2.8037226
16.04283,10.2361765
-7.37079,3.212915
-2.1326468,0.14183018
17.306059,-1.6143445
21.373447,-8.138652
-1.0723865,-1.71042
-9.661323,-1.5492272
30.27606,-2.4332004
33.157776,-7.584345
-5.060091,-2.151065
26.185287,-10.256045
32.014294,-6.9814587
24.904268,9.437965
30.886513,-3.0528624
-3.4757414,2.707142
22.44595,7.1533303
2.8228824,8.459103
6.4075294,27.278858
7.3998137,-0.35405338
6.23782,14.049645
-6.1180906,23.695038
6.1908603,18.241703
